あ,a
か,ka
さ,sa
た,ta
な,na
は,ha
ま,ma
や,ya
ら,ra
わ,wa
が,ga
ざ,za
だ,da
ば,ba
ぱ,pa
い,i
き,ki
し,shi
ち,chi
に,ni
ひ,hi
み,mi
り,ri
ぎ,gi
じ,ji
ぢ,ji
び,bi
ぴ,pi
う,u
く,ku
す,su
つ,tsu
ぬ,nu
ふ,fu
む,mu
ゆ,yu
る,ru
ぐ,gu
ず,zu
づ,zu
ぶ,bu
ぷ,pu
え,e
け,ke
せ,se
て,te
ね,ne
へ,he
め,me
れ,re
げ,ge
ぜ,ze
で,de
べ,be
ぺ,pe
お,o
こ,ko
そ,so
と,to
の,no
ほ,ho
も,mo
よ,yo
ろ,ro
を,wo
ん,n
ご,go
ぞ,zo
ど,do
ぼ,bo
ぽ,po
きゃ,kya
しゃ,sha
ちゃ,cha
にゃ,nya
ひゃ,hya
みゃ,mya
りゃ,rya
ぎゃ,gya
じゃ,ja
ぢゃ,já
びゃ,bya
ぴゃ,pya
きゅ,kyu
しゅ,shu
ちゅ,chu
にゅ,nyu
ひゅ,hyu
みゅ,myu
りゅ,ryu
ぎゅ,gyu
じゅ,ju
ぢゅ,ju
びゅ,byu
ぴゅ,pyu
きょ,kyo
しょ,sho
ちょ,cho
にょ,nyo
ひょ,hyo
みょ,myo
りょ,ryo
ぎょ,gyo
じょ,jo
ぢょ,jo
びょ,byo
ぴょ,pyo
